Distance,Theater,Movie Name,Duration,User Rating,Metascore,Rank,Showtime
Within 10 miles ,AMC DINE-IN Sunnyvale 12,Sing 2 (2021),112 min,7.4/10,None,40,11:15am 2:30pm 3:45 5:15 6:45 10:00 
Within 10 miles ,AMC DINE-IN Sunnyvale 12,Spider-Man: No Way Home (2021),148 min,9/10,71,1,11:00am 12:00pm 1:00 2:45 4:45 6:30 7:00 7:30 8:30 10:15 9:45pm 
Within 10 miles ,AMC DINE-IN Sunnyvale 12,The King's Man (2021),131 min,6.9/10,None,26,12:45pm 4:00 7:15 10:30 
Within 10 miles ,AMC DINE-IN Sunnyvale 12,The Matrix Resurrections (2021),148 min,6.1/10,65,4,12:15pm 2:15 3:45 6:00 9:45 11:00 
Within 10 miles ,AMC DINE-IN Sunnyvale 12,West Side Story (2021),156 min,7.9/10,85,3,11:30am 6:15pm 
Within 10 miles ,AMC Mercado 20,'83 (2021),162 min,5.9/10,None,>1000,10:45am 1:30pm 3:15 5:15 7:00 9:00 10:30 
Within 10 miles ,AMC Mercado 20,A Journal for Jordan (2021),131 min,-/10,None,<500,10:00am 1:15pm 4:30 7:45 11:00 
Within 10 miles ,AMC Mercado 20,American Underdog (2021),112 min,-/10,None,90,10:45am 1:30pm 4:15 7:00 9:45 
Within 10 miles ,AMC Mercado 20,Encanto (2021),102 min,7.6/10,75,21,11:00am 1:45pm 4:30 7:20 
Within 10 miles ,AMC Mercado 20,Ghostbusters: Afterlife (2021),124 min,7.6/10,None,28,12:30pm 7:00 
Within 10 miles ,AMC Mercado 20,House of Gucci (2021),158 min,6.9/10,None,10,10:10pm 
Within 10 miles ,AMC Mercado 20,Licorice Pizza (2021),133 min,8.4/10,91,14,12:45pm 4:00 7:15 10:30 
Within 10 miles ,AMC Mercado 20,Nightmare Alley (2021),150 min,7.5/10,68,11,11:30am 2:45pm 6:15 9:45 
Within 10 miles ,AMC Mercado 20,Pushpa: The Rise - Part 1 (2021),179 min,8.3/10,None,<500,2:30pm 6:15 10:00 
Within 10 miles ,AMC Mercado 20,Red Rocket (2021),128 min,7.6/10,75,<500,12:30pm 3:30 6:30 9:30 
Within 10 miles ,AMC Mercado 20,Sing 2 (2021),112 min,7.4/10,None,40,10:00am 10:30 11:15 1:00pm 2:00 4:00 4:45 7:30 10:15 
Within 10 miles ,AMC Mercado 20,Spider-Man: No Way Home (2021),148 min,9/10,71,1,10:00am 11:00 11:30 12:00pm 2:30 3:00 3:15 3:45 5:30 6:00 7:00 7:30 9:30 10:15 10:45 11:00 1:45pm 9:00 
Within 10 miles ,AMC Mercado 20,The King's Man (2021),131 min,6.9/10,None,26,10:00am 1:15pm 4:30 7:45 11:00 
Within 10 miles ,AMC Mercado 20,The Matrix Resurrections (2021),148 min,6.1/10,65,4,10:30am 11:30 2:00pm 5:30 6:45 7:15 9:00 10:45 
Within 10 miles ,AMC Mercado 20,West Side Story (2021),156 min,7.9/10,85,3,3:30pm 10:00 
Within 10 miles ,AMC Saratoga 14,A Journal for Jordan (2021),131 min,-/10,None,<500,12:15pm 3:15 6:15 9:15 
Within 10 miles ,AMC Saratoga 14,American Underdog (2021),112 min,-/10,None,90,11:20am 2:15pm 5:00 7:50 10:45 
Within 10 miles ,AMC Saratoga 14,Encanto (2021),102 min,7.6/10,75,21,11:05am 3:20pm 
